Name,Cost,VP,Type,Production,Military,Strength,Explore,"Draw Extra","Keep Extra",Develop,"Take Card","Develop Discount",Settle,"Settle Power",Trade,"Trade Power",Consume,"Consume Power",Produce,"Produce Power",Special,Goods,"Starting World","Starting Hand",Release,"Additional Notes"
"Contact Specialist",1,1,Development,,,-1,,,,,,,X,"-1 Military, May Settle Military as Non-Military at Cost -1",,,,,,,,,,4,"Base Game",
"Expedition Force",1,1,Development,,,1,X,1,,,,,X,"+1 Military",,,,,,,,,,2,"Base Game",
"Export Duties",1,1,Development,,,0,,,,,,,,,X,"+1 Card with Trade",,,,,,,,3,"Base Game",
"Investment Credits",1,1,Development,,,0,,,,X,,-1,,,,,,,,,,,,,"Base Game",
"New Military Tactics",1,1,Development,,,0,,,,,,,X,"Discard for +3 Military this phase",,,,,,,,,,3,"Base Game",
"Public Works",1,1,Development,,,0,,,,X,1,,,,,,X,"Consume 1 good for 1 VP",,,,,,1,"Base Game",
"Interstellar Bank",2,1,Development,,,0,,,,X,1,,,,,,,,,,,,,,"Base Game",
"Colony Ship",2,1,Development,,,0,,,,,,,X,"Discard to Settle a Non-Military, Non-Alien World at No Cost",,,,,,,,,,1,"Base Game",
"Deficit Spending",2,1,Development,,,0,,,,,,,,,,,X,"Discard up to 2 cards for 1 VP each (no x2 bonus)",,,,,,,"Base Game",
"Genetics Lab",2,1,Development,,,0,,,,,,,,,X,"+1 Card with Genes Trade",,,X,"Produce Windfall Genes",,,,,"Base Game",
"Mining Robots",2,1,Development,,,0,,,,,,,X,"-1 Cost to Settle Rare World",,,,,X,"Produce Windfall Rare",,,,2,"Base Game",
"Space Marines",2,1,Development,,,2,,,,,,,X,"+2 Military",,,,,,,,,,4,"Base Game",
"Mining Conglomerate",3,2,Development,,,0,,,,,,,,,X,"+1 Card with Rare Trade",X,"Consume up to 2 Rare goods for 1 VP each",X,"+2 Cards if you produced most Rare goods this phase",,,,,"Base Game",
"Terraforming Robots",3,2,Development,,,0,,,,,,,X,"+1 Card with Settle",,,X,"Consume 1 Rare good for 1 VP and 1 card",,,Terraforming,,,,"Base Game",
"Diversified Economy",4,2,Development,,,0,,,,,,,,,,,X,"Consume 3 different kinds of goods for 3 VP",X,"+1 Card for each kind of good produced this phase",,,,,"Base Game",
